Neighbourhood,Neighbourhood Id,Combined Indicators,Total Population,Low Income Population,Percentage
West Humber-Clairville,1,N/A,33312,7590,22.78458213
Mount Olive-Silverstone-Jamestown,2,N/A,32954,11540,35.01851065
Thistletown-Beaumond Heights,3,N/A,10360,2350,22.68339768
Rexdale-Kipling,4,N/A,10529,2170,20.60974452
Elms-Old Rexdale,5,N/A,9456,2790,29.50507614
Kingsview Village-The Westway,6,N/A,22000,6760,30.72727273
Willowridge-Martingrove-Richview,7,N/A,22156,3490,15.75194078
Humber Heights-Westmount,8,N/A,10948,1780,16.25867738
Edenbridge-Humber Valley,9,N/A,15535,1660,10.68554876
Princess-Rosethorn,10,N/A,11051,950,8.596507103
Eringate-Centennial-West Deane,11,N/A,18588,2130,11.45900581
Markland Wood,12,N/A,10554,990,9.380329733
Etobicoke West Mall,13,N/A,11848,2020,17.04929102
Islington-City Centre West,14,N/A,43965,11590,26.36187877
Kingsway South,15,N/A,9271,470,5.069571783
Stonegate-Queensway,16,N/A,25051,3080,12.29491837
Mimico,17,N/A,33964,4390,12.92545048
New Toronto,18,N/A,11463,2410,21.0241647
Long Branch,19,N/A,10084,1520,15.07338358
Alderwood,20,N/A,12054,1090,9.042641447
Humber Summit,21,N/A,12416,3330,26.82023196
Humbermede,22,N/A,15545,4030,25.92473464
Pelmo Park-Humberlea,23,N/A,10722,1430,13.33706398
Black Creek,24,N/A,21737,7940,36.5275797
Glenfield-Jane Heights,25,N/A,30491,9610,31.51749697
Downsview-Roding-CFB,26,N/A,35052,7750,22.11000799
York University Heights,27,N/A,27593,7950,28.81165513
Rustic,28,N/A,9941,2980,29.97686349
Maple Leaf,29,N/A,10111,1770,17.50568688
Brookhaven-Amesbury,30,N/A,17757,4780,26.91896154
Yorkdale-Glen Park,31,N/A,14804,2850,19.25155363
Englemount-Lawrence,32,N/A,22372,5360,23.95851958
Clanton Park,33,N/A,16472,2560,15.54152501
Bathurst Manor,34,N/A,15873,2620,16.50601651
Westminster-Branson,35,N/A,26274,6540,24.89152775
Newtonbrook West,36,N/A,23831,6690,28.07267844
Willowdale West,37,N/A,16936,3050,18.00897496
Lansing-Westgate,38,N/A,16164,12430,76.89928236
Bedford Park-Nortown,39,N/A,23236,2440,10.50094681
St.Andrew-Windfields,40,N/A,17812,3350,18.80754547
Bridle Path-Sunnybrook-York Mills,41,N/A,9266,810,8.741636089
Banbury-Don Mills,42,N/A,27695,3790,13.68478065
Victoria Village,43,N/A,17510,4320,24.67161622
Flemingdon Park,44,N/A,21933,7800,35.5628505
Parkwoods-Donalda,45,N/A,34805,7200,20.68668295
Pleasant View,46,N/A,15818,3540,22.37956758
Don Valley Village,47,N/A,27051,7040,26.0249159
Hillcrest Village,48,N/A,16934,4350,25.68796504
Bayview Woods-Steeles,49,N/A,13154,3080,23.41493082
Newtonbrook East,50,N/A,16097,4600,28.57675343
Willowdale East,51,N/A,50434,13330,26.43058254
Bayview Village,52,N/A,21396,4250,19.86352589
Henry Farm,53,N/A,15723,4220,26.83966164
O'Connor-Parkview,54,N/A,18675,3910,20.93708166
Thorncliffe Park,55,N/A,21108,8700,41.21660034
Leaside-Bennington,56,N/A,16828,930,5.526503447
Broadview North,57,N/A,11499,2150,18.69727802
Old East York,58,N/A,9233,1120,12.13040182
Danforth-East York,59,N/A,17180,2340,13.62048894
Woodbine-Lumsden,60,N/A,7865,1100,13.98601399
Taylor-Massey,61,N/A,15683,5180,33.02939489
East End-Danforth,62,N/A,21381,3520,16.463215
The Beaches,63,N/A,21567,1760,8.160615756
Woodbine Corridor,64,N/A,12541,1770,14.11370704
Greenwood-Coxwell,65,N/A,14417,2920,20.25386696
Danforth,66,N/A,9666,1400,14.4837575
Playter Estates-Danforth,67,N/A,7804,870,11.14812916
North Riverdale,68,N/A,11916,1380,11.58106747
Blake-Jones,69,N/A,7727,2040,26.4009318
South Riverdale,70,N/A,27876,5440,19.51499498
Cabbagetown-South St.James Town,71,N/A,11669,1880,16.1110635
Regent Park,72,N/A,10803,5150,47.67194298
Moss Park,73,N/A,20506,5120,24.96830196
North St.James Town,74,N/A,18615,5860,31.47998926
Church-Yonge Corridor,75,N/A,31340,5160,16.464582
Bay Street Corridor,76,N/A,25797,12820,49.69570105
Waterfront Communities-The Island,77,N/A,65913,6990,10.60488826
Kensington-Chinatown,78,N/A,17945,6070,33.82557816
University,79,N/A,7607,1530,20.11305377
Palmerston-Little Italy,80,N/A,13826,1810,13.0912773
Trinity-Bellwoods,81,N/A,16556,3220,19.4491423
Niagara,82,N/A,31180,2580,8.274534958
Dufferin Grove,83,N/A,11785,2140,18.15867628
Little Portugal,84,N/A,15559,2030,13.047111
South Parkdale,85,N/A,21849,5660,25.90507575
Roncesvalles,86,N/A,14974,2640,17.63055964
High Park-Swansea,87,N/A,23925,2290,9.571577847
High Park North,88,N/A,22162,2940,13.26595073
Runnymede-Bloor West Village,89,N/A,10070,720,7.149950348
Junction Area,90,N/A,14366,2190,15.24432688
Weston-Pellam Park,91,N/A,11098,2810,25.31987746
Corso Italia-Davenport,92,N/A,14133,2120,15.00035378
Dovercourt-Wallace Emerson-Juncti,93,N/A,36625,6400,17.47440273
Wychwood,94,N/A,14349,1940,13.52010593
Annex,95,N/A,30526,4260,13.95531678
Casa Loma,96,N/A,10968,950,8.661560904
Yonge-St.Clair,97,N/A,12528,980,7.82247765
Rosedale-Moore Park,98,N/A,20923,1650,7.886058405
Mount Pleasant East,99,N/A,16775,1210,7.213114754
Yonge-Eglinton,100,N/A,11817,1100,9.30862317
Forest Hill South,101,N/A,10732,860,8.013417816
Forest Hill North,102,N/A,12806,1770,13.8216461
Lawrence Park South,103,N/A,15179,930,6.126885829
Mount Pleasant West,104,N/A,29658,4740,15.98219705
Lawrence Park North,105,N/A,14607,980,6.70911207
Humewood-Cedarvale,106,N/A,14365,1820,12.66968326
Oakwood Village,107,N/A,21210,3930,18.52899576
Briar Hill-Belgravia,108,N/A,14257,2870,20.13046223
Caledonia-Fairbank,109,N/A,9955,1720,17.27774987
Keelesdale-Eglinton West,110,N/A,11058,1970,17.81515645
Rockcliffe-Smythe,111,N/A,22246,5160,23.19518116
Beechborough-Greenbrook,112,N/A,6577,1920,29.19264102
Weston,113,N/A,17992,5050,28.06803024
Lambton Baby Point,114,N/A,7985,1390,17.40763932
Mount Dennis,115,N/A,13593,3770,27.73486353
Steeles,116,N/A,24623,7570,30.74361369
L'Amoreaux,117,N/A,43993,12450,28.29995681
Tam O'Shanter-Sullivan,118,N/A,27446,6570,23.93791445
Wexford/Maryvale,119,N/A,27917,5500,19.7012573
Clairlea-Birchmount,120,N/A,26984,5650,20.93833383
Oakridge,121,N/A,13845,5890,42.54243409
Birchcliffe-Cliffside,122,N/A,22291,3050,13.68265219
Cliffcrest,123,N/A,15935,2660,16.69281456
Kennedy Park,124,N/A,17123,4810,28.09087193
Ionview,125,N/A,13641,3350,24.55831684
Dorset Park,126,N/A,25003,6590,26.35683718
Bendale,127,N/A,29960,6870,22.9305741
Agincourt South-Malvern West,128,N/A,23757,6400,26.93942838
Agincourt North,129,N/A,29113,8250,28.33785594
Milliken,130,N/A,26572,8330,31.3487882
Rouge,131,N/A,46496,7770,16.71111493
Malvern,132,N/A,43794,11490,26.23647075
Centennial Scarborough,133,N/A,13362,1330,9.953599761
Highland Creek,134,N/A,12494,2120,16.96814471
Morningside,135,N/A,17455,4580,26.23890003
West Hill,136,N/A,27392,7640,27.89135514
Woburn,137,N/A,53485,15430,28.84921006
Eglinton East,138,N/A,22776,6290,27.6167896
Scarborough Village,139,N/A,16724,5500,32.88686917
Guildwood,140,N/A,9917,790,7.966118786
